sentence,x,y,w,l,area_percent,date,receipt_no,total,title,address,brand_name
540.000đ,0.8787878787878788,0.8630952380952381,0.21212121212121213,0.028273809523809524,0.005997474747474747,0,0,0,0,0,0
Tình cầm  a quý khách: tiện gap alt,0.09090909090909093,0.9657738095238096,0.8787878787878788,0.06547619047619048,0.057539682539682536,0,0,0,0,0,0
‘Hoa aon,0.4074074074074074,0.04473684210526317,0.4444444444444444,0.046052631578947366,0.02046783625730994,0,0,0,0,0,0
BTENVENUE A L'ESSENTIEL,0.07407407407407407,0.16578947368421051,0.6296296296296297,0.03289473684210526,0.020711500974658868,0,0,0,0,0,0
Ï'20†B-05-05 19:01. Ko:0003 01-bAasl1EI',0.037037037037037035,0.2355263157894737,1.037037037037037,0.035526315789473684,0.036842105263157884,0,0,0,0,0,0
,0.037037037037037035,0.275,1.1851851851851851,0.022368421052631586,0.02651072124756336,0,0,0,0,0,0
‘Ten menu Bon gia se yong TINH,0.037037037037037035,0.3131578947368421,1.148148148148148,0.03157894736842105,0.03625730994152047,0,0,0,0,0,0
—C - -—-— TT 7...0 ®œar,0.037037037037037035,0.35526315789473684,1.1851851851851851,0.022368421052631586,0.02651072124756336,0,0,0,0,0,0
"%1.Bick salad 150,000 7 “150,000",0.037037037037037035,0.4197368421052631,1.1851851851851851,0.035526315789473684,0.042105263157894736,0,0,0,0,0,0
"V{.Rib-eve steahk 380,000 1 590,906",0.037037037037037035,0.4578947368421053,1.1851851851851851,0.035526315789473684,0.042105263157894736,0,0,0,0,0,0
"D2.(remeBrulae 100,000 1 160,000",0.037037037037037035,0.4934210526315789,1.1851851851851851,0.036842105263157884,0.04366471734892788,0,0,0,0,0,0
"Barsalou 12.5c] 95,000. 1 395,000",0.037037037037037035,0.5328947368421053,1.1851851851851851,0.03421052631578948,0.0405458089668616,0,0,0,0,0,0
") Tien ban 735,000",0.0,0.6078947368421053,1.2222222222222223,0.036842105263157884,0.04502923976608187,0,0,0,0,0,0
"Ten khong. thus 735,000",0.3333333333333333,0.6473684210526316,0.8888888888888888,0.038157894736842106,0.033918128654970764,0,0,0,0,0,0
"Tien dich yu 36,000",0.4074074074074074,0.6868421052631579,0.8148148148148148,0.038157894736842106,0.0310916179337232,0,0,0,0,0,0
| Tong Cong 711.000,0.0,0.7618421052631579,1.2222222222222223,0.04473684210526317,0.054678362573099416,0,0,0,0,0,0
"Tien 414,000",0.6296296296296297,0.8039473684210526,0.5925925925925926,0.042105263157894736,0.024951267056530214,0,0,0,0,0,0
MERET L,0.0,0.925,0.2222222222222222,0.036842105263157884,0.008187134502923977,0,0,0,0,0,0
ARENT OT,0.0,0.9671052631578948,0.3333333333333333,0.036842105263157884,0.012280701754385965,0,0,0,0,0,0
Ran so ' 8B.,0.0,1.0105263157894735,0.3333333333333333,0.03421052631578948,0.011403508771929824,0,0,0,0,0,0
Que Cho Que Restaurant,0.5416666666666666,0.21544209215442087,0.6666666666666666,0.028642590286425906,0.019095060190950603,0,0,0,0,0,0
"44 Dao Duy Tu, X»an iem, lận, Vi®natn",0.375,0.2353673723536737,0.9583333333333334,0.031133250311332506,0.029836031548360318,0,0,0,0,0,0
EIT) + Agree ae,0.6666666666666666,0.2727272727272727,0.4166666666666667,0.0161892901618929,0.0067455375674553755,0,0,0,0,0,0
v PRI,0.375,0.2851805728518057,0.08333333333333333,0.017434620174346202,0.0014528850145288502,0,0,0,0,0,0
HÓA ĐƠN THANH TOÁN:,0.4166666666666667,0.32378580323785805,0.9166666666666666,0.0410958904109589,0.03767123287671234,0,0,0,0,0,0
18:40 - 1840 27/0217. INTAMTÍNH,0.3333333333333333,0.3549190535491905,1.0416666666666667,0.0398505603985056,0.04151100041511,0,0,0,0,0,0
ÑNgejl Trời - O4 MA H8. 018250,0.3333333333333333,0.3872976338729763,1.0416666666666667,0.037359900373599,0.03891656288916563,0,0,0,0,0,0
Tenhiog SL Conga “then,0.4166666666666667,0.4533001245330012,0.9166666666666666,0.026151930261519303,0.023972602739726026,0,0,0,0,0,0
tai,1.1666666666666667,0.4719800747198008,0.16666666666666666,0.0199252801992528,0.0033208800332088003,0,0,0,0,0,0
"| Bia Tiger 3. #3003 0 420,000]",0.3333333333333333,0.4894146948941471,1.0416666666666667,0.034869240348692404,0.036322125363221255,0,0,0,0,0,0
124 PhS cuốn tâm. 1 88603 0 4.000),0.3333333333333333,0.5292652552926526,1.0416666666666667,0.0361145703611457,0.03761934412619344,0,0,0,0,0,0
l Freeh mocals rats,0.2916666666666667,0.5740971357409713,0.5,0.029887920298879208,0.014943960149439604,0,0,0,0,0,0
Prawns & pov,0.2916666666666667,0.6014943960149439,0.4166666666666667,0.021170610211706103,0.008821087588210876,0,0,0,0,0,0
Í131A- Bá»hxègsze 1 79003 0 79.0001,0.2916666666666667,0.6326276463262764,1.125,0.033623910336239106,0.03782689912826899,0,0,0,0,0,0
|Sitring cake,0.2916666666666667,0.6749688667496887,0.3333333333333333,0.034869240348692404,0.011623080116230802,0,0,0,0,0,0
(Sa Tho Free,0.2916666666666667,0.7110834371108343,0.3333333333333333,0.034869240348692404,0.011623080116230802,0,0,0,0,0,0
"{Bin Draught Hatids 1 30003 0 30000,",0.2916666666666667,0.7584059775840598,1.125,0.034869240348692404,0.03922789539227895,0,0,0,0,0,0
"Tổng tên: 328,000 VNĐ",0.25,0.8119551681195517,1.1666666666666667,0.0460772104607721,0.053756745537567464,0,0,0,0,0,0
Giảm giả: 0% = 0 NNB,0.25,0.8580323785803238,1.1666666666666667,0.04358655043586551,0.05085097550850976,0,0,0,0,0,0
Thuê: O%= ONS,0.25,0.9028642590286424,1.1666666666666667,0.04358655043586551,0.05085097550850976,0,0,0,0,0,0
"THANH TOÁN: 328,000 VNB",0.25,0.9514321295143212,1.1666666666666667,0.0460772104607721,0.05375674553756746,0,0,0,0,0,0
'KHÁPH HÀNG:,0.2083333333333333,1.0386052303860522,0.4583333333333333,0.028642590286425906,0.013127853881278538,0,0,0,0,0,0
'K“H-28000001 -- Khánh là,0.2083333333333333,1.078455790784558,0.6666666666666666,0.029887920298879208,0.0199252801992528,0,0,0,0,0,0
CƠ SỞ CHÍNH - QUẦY 1,0.2083333333333333,1.1369863013698631,0.7083333333333334,0.031133250311332506,0.022052718970527192,0,0,0,0,0,0
Thủ ngân: QUẢNLY,0.2083333333333333,1.1793275217932753,0.5833333333333334,0.0361145703611457,0.021066832710668327,0,0,0,0,0,0
Que Cho Que Restaurant,0.5416666666666666,0.21544209215442087,0.6666666666666666,0.028642590286425906,0.019095060190950603,0,0,0,0,0,0
"44 Dao Duy Tu, X»an iem, lận, Vi®natn",0.375,0.2353673723536737,0.9583333333333334,0.031133250311332506,0.029836031548360318,0,0,0,0,0,0
EIT) + Agree ae,0.6666666666666666,0.2727272727272727,0.4166666666666667,0.0161892901618929,0.0067455375674553755,0,0,0,0,0,0
v PRI,0.375,0.2851805728518057,0.08333333333333333,0.017434620174346202,0.0014528850145288502,0,0,0,0,0,0
HÓA ĐƠN THANH TOÁN:,0.4166666666666667,0.32378580323785805,0.9166666666666666,0.0410958904109589,0.03767123287671234,0,0,0,0,0,0
18:40 - 1840 27/0217. INTAMTÍNH,0.3333333333333333,0.3549190535491905,1.0416666666666667,0.0398505603985056,0.04151100041511,0,0,0,0,0,0
ÑNgejl Trời - O4 MA H8. 018250,0.3333333333333333,0.3872976338729763,1.0416666666666667,0.037359900373599,0.03891656288916563,0,0,0,0,0,0
Tenhiog SL Conga “then,0.4166666666666667,0.4533001245330012,0.9166666666666666,0.026151930261519303,0.023972602739726026,0,0,0,0,0,0
tai,1.1666666666666667,0.4719800747198008,0.16666666666666666,0.0199252801992528,0.0033208800332088003,0,0,0,0,0,0
"| Bia Tiger 3. #3003 0 420,000]",0.3333333333333333,0.4894146948941471,1.0416666666666667,0.034869240348692404,0.036322125363221255,0,0,0,0,0,0
124 PhS cuốn tâm. 1 88603 0 4.000),0.3333333333333333,0.5292652552926526,1.0416666666666667,0.0361145703611457,0.03761934412619344,0,0,0,0,0,0
l Freeh mocals rats,0.2916666666666667,0.5740971357409713,0.5,0.029887920298879208,0.014943960149439604,0,0,0,0,0,0
Prawns & pov,0.2916666666666667,0.6014943960149439,0.4166666666666667,0.021170610211706103,0.008821087588210876,0,0,0,0,0,0
Í131A- Bá»hxègsze 1 79003 0 79.0001,0.2916666666666667,0.6326276463262764,1.125,0.033623910336239106,0.03782689912826899,0,0,0,0,0,0
|Sitring cake,0.2916666666666667,0.6749688667496887,0.3333333333333333,0.034869240348692404,0.011623080116230802,0,0,0,0,0,0
HOTLINE TU VAN- LAP ĐẶT:,0.14285714285714285,0.0718475073313783,0.8571428571428571,0.045454545454545456,0.03896103896103896,0,0,0,0,0,0
0905 933 159 - 0976 941 404,0.14285714285714285,0.12316715542521996,0.7857142857142857,0.045454545454545456,0.03571428571428571,0,0,0,0,0,0
HANDMADE,0.21428571428571427,0.18914956011730205,0.35714285714285715,0.029325513196480937,0.010473397570171765,0,0,0,0,0,0
Sa ppecatsee,0.32142857142857145,0.2316715542521994,0.6785714285714286,0.06304985337243403,0.04278382907415165,0,0,0,0,0,0
ĐC: Số 10 Ngõ 78 Lò Đúc - Hai Bà Trưng -,0.21428571428571427,0.31231671554252194,0.9285714285714286,0.04105571847507331,0.03812316715542522,0,0,0,0,0,0
Hà Nội,0.6071428571428571,0.35043988269794724,0.17857142857142858,0.030791788856304982,0.005498533724340175,0,0,0,0,0,0
ĐT: 0163.897.2711 - 0865.571.195,0.2857142857142857,0.3900293255131965,0.7857142857142857,0.030791788856304982,0.024193548387096774,0,0,0,0,0,0
HOA DON BAN HANG,0.2857142857142857,0.4398826979472141,0.75,0.045454545454545456,0.03409090909090909,0,0,0,0,0,0
TAKE AWAY,0.5,0.5043988269794721,0.35714285714285715,0.029325513196480937,0.010473397570171765,0,0,0,0,0,0
Ngày: 28/09/2018 Số: 091800001,0.14285714285714285,0.5469208211143695,1.0714285714285714,0.04105571847507331,0.04398826979472141,0,0,0,0,0,0
Thu na&n: Administrator 1n lúc: 14:48,0.14285714285714285,0.5982404692082112,1.0714285714285714,0.03225806451612903,0.034562211981566816,0,0,0,0,0,0
VAG Gigvaor i404 CC — Sòia 1404.,0.0,0.6392961876832844,1.2142857142857142,0.049853372434017586,0.060536237955592785,0,0,0,0,0,0
Mặt hàng |ISL |ĐVT |Giá |T tiên,0.14285714285714285,0.6935483870967742,1.0,0.03225806451612903,0.03225806451612903,0,0,0,0,0,0
TT,0.0,0.7346041055718475,0.3928571428571429,0.06744868035190615,0.02649769585253456,0,0,0,0,0,0
"DU BH | 2 ail! 7000) 40,000,",0.0,0.7346041055718475,1.2142857142857142,0.06744868035190615,0.08190196899874319,0,0,0,0,0,0
"""RẰNHRITM -",0.14285714285714285,0.7346041055718475,0.25,0.0249266862170088,0.006231671554252199,0,0,0,0,0,0
| BRÁNH RITM 3:,0.10714285714285714,0.8020527859237536,0.2857142857142857,0.02785923753665689,0.007959782153330541,0,0,0,0,0,0
"2¬ Ms bó la! cải | 80,000. 160,000",0.10714285714285714,0.8240469208211144,1.1071428571428572,0.03519061583577713,0.03896103896103896,0,0,0,0,0,0
"Tổng: —_ 300,000",0.10714285714285714,0.8739002932551322,1.1071428571428572,0.05571847507331378,0.06168831168831169,0,0,0,0,0,0
"KHÁCH ĐƯA 350,000.",0.10714285714285714,0.935483870967742,1.1071428571428572,0.04838709677419355,0.05357142857142857,0,0,0,0,0,0
"TRA LAT 50,000",0.10714285714285714,0.9882697947214076,1.1071428571428572,0.04252199413489737,0.04707792207792208,0,0,0,0,0,0
Cam an Quy khách. 1e! gap aif,0.35714285714285715,1.0454545454545454,0.6071428571428571,0.026392961876832845,0.0160242982823628,0,0,0,0,0,0
BILL KHO 5.8CM,0.5238095238095238,0.031746031746031744,0.9047619047619048,0.032679738562091505,0.029567382508558983,0,0,0,0,0,0
NAMU TEA,0.7142857142857143,0.07749766573295985,0.6190476190476191,0.030812324929971987,0.01907429638522076,0,0,0,0,0,0
Đại chỉ: Só 16 - Nguyễn,0.5714285714285714,0.1092436974789916,0.8571428571428571,0.031746031746031744,0.027210884353741496,0,0,0,0,0,0
Thái Học - TX.Nghĩa Lộ -,0.5714285714285714,0.13725490196078433,0.8571428571428571,0.03361344537815126,0.028811524609843937,0,0,0,0,0,0
Yên bái,0.8095238095238095,0.16993464052287582,0.3809523809523809,0.02427637721755369,0.009248143701925214,0,0,0,0,0,0
0971.1989.604,0.7619047619047619,0.19607843137254904,0.4761904761904762,0.026143790849673203,0.012449424214130094,0,0,0,0,0,0
HÓA ĐƠN THANH TOÁN,0.4761904761904762,0.22689075630252106,1.0,0.036414565826330535,0.036414565826330535,0,0,0,0,0,0
HĐ: 0001,0.4761904761904762,0.2623716153127918,0.5238095238095238,0.026143790849673203,0.013694366635543105,0,0,0,0,0,0
Ngày: 06/04/2018 Giờ: 18:25:23,0.4761904761904762,0.2903828197945845,1.0476190476190477,0.030812324929971987,0.03227957849806589,0,0,0,0,0,0
BẢN: DINE IN,0.4761904761904762,0.31559290382819793,0.6190476190476191,0.031746031746031744,0.019652305366591082,0,0,0,0,0,0
Khách hàng:,0.4761904761904762,0.3464052287581699,0.42857142857142855,0.032679738562091505,0.014005602240896359,0,0,0,0,0,0
TENHANG §L Đ.GIÁ  T.TIÊN,0.4761904761904762,0.3893557422969188,0.9523809523809524,0.028011204481792718,0.02667733760170735,0,0,0,0,0,0
Thức uống,0.42857142857142855,0.4220354808590103,0.42857142857142855,0.031746031746031744,0.013605442176870748,0,0,0,0,0,0
"HỎNG TRÀ - 1 27,000",0.42857142857142855,0.4556489262371615,1.0476190476190477,0.03361344537815126,0.035214085634253704,0,0,0,0,0,0
"TRA THIET 4 30,000",0.42857142857142855,0.4939309056956116,1.0476190476190477,0.032679738562091505,0.034235916588857766,0,0,0,0,0,0
QUAN ÂM,0.42857142857142855,0.5172735760971056,0.3809523809523809,0.021475256769374416,0.00818105019785692,0,0,0,0,0,0
"}ÈPudding.... 1 5,000.",0.4761904761904762,0.5490196078431373,1.0,0.031746031746031744,0.031746031746031744,0,0,0,0,0,0
J‡l3đường — 10,0.4761904761904762,0.5854341736694678,1.0,0.035480859010270774,0.035480859010270774,0,0,0,0,0,0
"Tràôlong 1 30,000",0.42857142857142855,0.6209150326797386,1.0,0.03361344537815126,0.03361344537815126,0,0,0,0,0,0
"Phác 020 trâu 1 5,000",0.42857142857142855,0.6591970121381886,1.0,0.04014939309056957,0.04014939309056957,0,0,0,0,0,0
Jÿ1l3đường 1  g,0.42857142857142855,0.7105508870214753,1.0,0.03734827264239029,0.03734827264239029,0,0,0,0,0,0
"37,000",1.1428571428571428,0.7619047619047619,0.2857142857142857,0.02240896358543417,0.006402561024409764,0,0,0,0,0,0
T.CÔNG,0.3809523809523809,0.7833800186741363,0.3333333333333333,0.02427637721755369,0.008092125739184563,0,0,0,0,0,0
"97,000",1.1428571428571428,0.7983193277310925,0.2857142857142857,0.02707749766573296,0.007736427904495131,0,0,0,0,0,0
"Tiền mặt 97,000",0.3809523809523809,0.8132586367880486,1.0476190476190477,0.0457516339869281,0.04793028322440087,0,0,0,0,0,0
Khách đưa,0.3809523809523809,0.8711484593837535,0.3809523809523809,0.02334267040149393,0.008892445867235784,0,0,0,0,0,0
"200,000",1.0952380952380951,0.8851540616246498,0.3333333333333333,0.031746031746031744,0.01058201058201058,0,0,0,0,0,0
Trả lại 103.000,0.3809523809523809,0.9047619047619048,1.0476190476190477,0.04481792717086835,0.04695211417900493,0,0,0,0,0,0
CẢM ƠN QUY KHAcH,0.4761904761904762,0.9635854341736696,0.8095238095238095,0.0392156862745098,0.031746031746031744,0,0,0,0,0,0
XIN GẶP LẠI!,0.6190476190476191,1.0,0.5238095238095238,0.031746031746031744,0.016628873771730914,0,0,0,0,0,0
HOTLINE: 0984.087.24(¢,0.0,0.02975653742110009,1.1828703703703705,0.04959422903516682,0.05866354406706075,0,0,0,0,0,0
PUDADAC,0.4074074074074074,0.10640216411181244,0.4444444444444444,0.033363390441839495,0.01482817352970644,0,0,0,0,0,0
A19 - Home Clly- Trung Kinh- Câu Giáy - HN,0.14814814814814814,0.1424706943192065,0.9629629629629628,0.027051397655545536,0.02604949403867348,0,0,0,0,0,0
904.0 926.0 577.0,0.4814814814814815,0.1740306582506763,0.2962962962962963,0.018034265103697024,0.0053434859566509705,0,0,0,0,0,0
HÓA ĐƠN THANH TOÁN,0.25925925925925924,0.21009918845807032,0.7407407407407407,0.027953110910730387,0.02070600808202251,0,0,0,0,0,0
HĐ: 0006,0.1111111111111111,0.25247971145175835,0.3703703703703704,0.019837691614066733,0.007347293190395085,0,0,0,0,0,0
Ngày: 18/06/2017 Giờ: 13:40:24,0.1111111111111111,0.2750225428313796,1.0,0.024346257889990983,0.024346257889990983,0,0,0,0,0,0
Hé,1.0,0.3056807935076646,0.1111111111111111,0.02164111812443643,0.0024045686804929365,0,0,0,0,0,0
Thu ngân: Người quản trị,0.1111111111111111,0.3246167718665464,0.7407407407407407,0.031559963931469794,0.023377751060348,0,0,0,0,0,0
Khách hàng,0.1111111111111111,0.3498647430117223,0.3333333333333333,0.027051397655545536,0.009017132551848512,0,0,0,0,0,0
TEN HANG SL ĐG T.TIỀN,0.14814814814814814,0.3868349864743012,0.9259259259259259,0.026149684400360685,0.02421267074107471,0,0,0,0,0,0
THÚC ĂN,0.1111111111111111,0.4201983769161407,0.25925925925925924,0.02164111812443643,0.0056106602544835175,0,0,0,0,0,0
"Garansdtxiddu 11.0 260,000 260,000",0.07407407407407407,0.454463480613165,1.037037037037037,0.027051397655545536,0.0280533012724176,0,0,0,0,0,0
"Gà rán sắt tỏi 4.0 260,000 260,000",0.07407407407407407,0.4869251577998197,1.037037037037037,0.02524797114517584,0.02618308118758976,0,0,0,0,0,0
"Cơm cuộncángừ 1.0 60,000 60,000",0.07407407407407407,0.521190261496844,1.037037037037037,0.026149684400360685,0.027118191230003672,0,0,0,0,0,0
"680,000",0.8888888888888888,0.5590622182146078,0.2222222222222222,0.019837691614066733,0.004408375914237051,0,0,0,0,0,0
THÚC UỎNG,0.07407407407407407,0.5942290351668169,0.3333333333333333,0.02254283137962128,0.007514277126540426,0,0,0,0,0,0
"Nước ép chanh dây: 1.0 45,000 45,000",0.037037037037037035,0.6275924256086565,1.0740740740740742,0.028854824165915238,0.030992218548575624,0,0,0,0,0,0
"Nước áp cả rốt+ cà 1.0 60,000 50,000",0.037037037037037035,0.6645626690712354,1.0740740740740742,0.026149684400360685,0.028086698059646663,0,0,0,0,0,0
chua,0.037037037037037035,0.6862037871956718,0.1851851851851852,0.018935978358881875,0.0035066626590522,0,0,0,0,0,0
"95,000",0.9259259259259259,0.7222723174030659,0.1851851851851852,0.018935978358881875,0.0035066626590522,0,0,0,0,0,0
"T.CONG 5.0 676,000",0.037037037037037035,0.7583408476104598,1.0740740740740742,0.02975653742110009,0.03196072537821862,0,0,0,0,0,0
"TIÊN MẠT 675,000",0.07407407407407407,0.78809738503156,1.037037037037037,0.03787195671776375,0.03927462178138463,0,0,0,0,0,0
"Sáu trăm bảy mươi lăm ngàn đồng,/.",0.037037037037037035,0.8241659152389541,0.9629629629629628,0.0351668169522092,0.03386434225027552,0,0,0,0,0,0
"KHÁCH ĐUA. 00,000",0.037037037037037035,0.8485121731289449,1.0740740740740742,0.031559963931469794,0.03389773903750458,0,0,0,0,0,0
"TRẢ LẠI 26,000",0.037037037037037035,0.8800721370604148,1.0740740740740742,0.034265103697024346,0.03680325952643355,0,0,0,0,0,0
XIN CAM ON - HEN GAP LAI,0.1851851851851852,0.9729486023444543,0.7777777777777778,0.02975653742110009,0.02314397354974452,0,0,0,0,0,0
**“** BẠN SAO HOA DON **,0.25925925925925924,1.0117222723174029,0.5925925925925926,0.018034265103697024,0.010686971913301941,0,0,0,0,0,0
MOTA CAFE,0.8125,0.05367231638418079,0.6875,0.03672316384180791,0.025247175141242938,0,0,0,0,0,0
"272 HÀ HUY TẬP - TP, HÀ TĨNH",0.5625,0.12005649717514125,1.1875,0.03954802259887006,0.04696327683615819,0,0,0,0,0,0
911586768.0,0.875,0.1807909604519774,0.5,0.031073446327683617,0.015536723163841809,0,0,0,0,0,0
HOA DON BAN HANG,0.625,0.23163841807909605,1.0625,0.040960451977401134,0.0435204802259887,0,0,0,0,0,0
Ngày 17/11/18 Số: 111800005,0.4375,0.2782485875706215,1.4375,0.04378531073446328,0.06294138418079095,0,0,0,0,0,0
BÀN 02,0.9375,0.3319209039548023,0.4375,0.040960451977401134,0.017920197740112994,0,0,0,0,0,0
Thu ngân: Administrator,0.4375,0.3785310734463277,0.9375,0.03954802259887006,0.03707627118644068,0,0,0,0,0,0
Tniúc: 1747,0.4375,0.4152542372881356,0.5625,0.040960451977401134,0.023040254237288137,0,0,0,0,0,0
“Giờ vào: 17:17 Giờra: 17:17,0.4375,0.4675141242937853,1.375,0.04378531073446328,0.060204802259887,0,0,0,0,0,0
¡ Mặt hàng! SL| Giá !T tiền,0.4375,0.5169491525423728,1.375,0.03672316384180791,0.05049435028248588,0,0,0,0,0,0
‘Gold Kiwi,0.4375,0.5692090395480226,0.4375,0.02824858757062147,0.012358757062146892,0,0,0,0,0,0
{Green Tea | 1! 35.000! 35.0001,0.4375,0.6031073446327684,1.4375,0.03389830508474576,0.048728813559322036,0,0,0,0,0,0
| (Tra Kiwi),0.4375,0.6370056497175142,0.4375,0.031073446327683617,0.013594632768361582,0,0,0,0,0,0
Í Trả sữa vị,0.4375,0.6822033898305084,0.4375,0.0268361581920904,0.011740819209039549,0,0,0,0,0,0
1; 30.000; 30.000.,1.0625,0.7005649717514124,0.75,0.029661016949152543,0.02224576271186441,0,0,0,0,0,0
that dẻ,0.4375,0.7161016949152542,0.3125,0.029661016949152543,0.009269067796610169,0,0,0,0,0,0
| Trà sữa vị,0.4375,0.7598870056497176,0.5,0.03389830508474576,0.01694915254237288,0,0,0,0,0,0
Í phúc bồn tử |  l| 30-000. 30.000,0.4375,0.7782485875706214,1.375,0.046610169491525424,0.06408898305084745,0,0,0,0,0,0
Tiên hàng: 95.000,0.4375,0.8418079096045198,1.375,0.03954802259887006,0.054378531073446326,0,0,0,0,0,0
Giảm 10%: 10.000,0.4375,0.8968926553672316,1.375,0.03672316384180791,0.05049435028248588,0,0,0,0,0,0
Tổng: 85.000,0.4375,0.9463276836158192,1.375,0.05790960451977401,0.07962570621468927,0,0,0,0,0,0
"Cam đn (Quý khách. Hen gap (gi, (",0.5,1.0141242937853108,1.25,0.03954802259887006,0.049435028248587566,0,0,0,0,0,0
Nba Hang MUGI po,0.125,0.007376185458377239,1.3333333333333333,0.06533192834562697,0.0871092377941693,0,0,0,0,0,0
"'UAÙN HAỖI SAON MöôÔØI ÑO,",0.125,0.09694415173867227,1.0416666666666667,0.04741833508956796,0.0493940990516333,0,0,0,0,0,0
"Trần Baehi Đằng: Gì Sản Ta. TP: Đà Mông, ˆ",0.16666666666666666,0.1285563751317176,0.9583333333333334,0.03898840885142255,0.03736389181594661,0,0,0,0,0,0
PHIẾU THANH TOÁN,0.3333333333333333,0.16332982086406744,0.625,0.03477344573234984,0.021733403582718653,0,0,0,0,0,0
Bàn:27 0006:,0.4583333333333333,0.20231822971549,0.625,0.022128556375131718,0.013830347734457323,0,0,0,0,0,0
Ván:,0.08333333333333333,0.21707060063224448,0.16666666666666666,0.02002107481559536,0.0033368458025992273,0,0,0,0,0,0
21/07/17 11:57:39 AM:,0.2916666666666667,0.22866174920969445,0.5,0.0273972602739726,0.0136986301369863,0,0,0,0,0,0
"Ati ""... 12:88:31, PM",0.08333333333333333,0.2465753424657534,0.7083333333333334,0.04636459430979978,0.03284158763610818,0,0,0,0,0,0
Phuủevu: 3ˆ,0.08333333333333333,0.2697576396206533,0.3333333333333333,0.023182297154899896,0.007727432384966631,0,0,0,0,0,0
Tên hàng — SL Đongiá Thành tiền.,0.08333333333333333,0.2961011591148577,1.0833333333333333,0.0410958904109589,0.04452054794520549,0,0,0,0,0,0
CA chim -,0.08333333333333333,0.3308746048472076,0.25,0.023182297154899896,0.005795574288724974,0,0,0,0,0,0
"600,000 4,800,000",0.6666666666666666,0.3466807165437302,0.5416666666666666,0.023182297154899896,0.012557077625570777,0,0,0,0,0,0
"Canh chủamnghêu. 3 460,000 450,000",0.08333333333333333,0.3656480505795574,1.125,0.03898840885142255,0.04386195995785037,0,0,0,0,0,0
Com trang 8 30/000 {80:00,0.04166666666666666,0.3983140147523709,1.1666666666666667,0.03898840885142255,0.04548647699332632,0,0,0,0,0,0
Göi súa.,0.041666666666666664,0.4351949420442571,0.25,0.024236037934668067,0.006059009483667018,0,0,0,0,0,0
"150,000 460,000",0.6666666666666666,0.4488935721812434,0.5416666666666666,0.024236037934668067,0.013127853881278538,0,0,0,0,0,0
"jMụ'c cơm 4 800,000 2,000,000",0.0,0.4646996838777661,1.2083333333333333,0.0368809272918862,0.04456445381102915,0,0,0,0,0,0
